pic href	pic src	trunc-title	float-left	float-right	float-left 2	float-right 2	float-right 3	float-left 4	item_extra_info	float-right 5	red_small	float-left 5	float-left 6	float-right 6	float-left 7
https://www.mvbataxsales.com/auction/gladewater-isdcity-of-gladewaterpine-tree-isd-gregg-county-online-property-tax-sale-february-4-2025-128/item/bid-in-trust-account-no-000052141n00655139-lots-16-17-block-1-lavelle-addition-city-of-gladewater-gregg-county-texas-suit-no-022348-ccl2-3172/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/128/1737495120/w0001-1_t.jpg	BID IN TRUST Account No. 000052141/N00655139 - Lots 16 & 17, Block 1, Lavelle Addition, City of Gladewater, Gregg County, Texas ::::: Suit No. 022348-CCL2	Current Bid:	$0.00		$3,415.83	$50.00	Bid Increment:	BID IN TRUST	, , TX	(bidding was extended)	Time Remaining:	Item Location:		
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-march-5-2024-104/item/withdrawn-from-sale-account-no-71292-lot-2-block-140-city-of-marble-falls-burnet-county-texas-suit-no-46773-approximate-property-address-broadway-street-marble-falls-texas-2347/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/104/1706327805/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 71292 - Lot 2, Block 140, City of Marble Falls, Burnet County, Texas ::::: Suit No. 46773 ::::: Approximate Property Address: Broadway Street, Marble Falls, Texas	Current Bid:	$0.00		$17,425.00	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-march-3-2020-70/item/account-no-39793-lot-496-and-497-sherwood-shores-section-iv-sherwood-shores-2-city-of-granite-shoals-burnet-county-texas-and-a-manufactured-home-14-x-60-located-on-lots-496-and-497-suit-no-40797-approximate-property-address-kingspoint-drive-1604/	https://d2jg8vcunvbhyl.cloudfront.net/user_images2/1604_3207127.jpg	Account No. 39793 - Lot 496 and 497, Sherwood Shores Section IV, Sherwood Shores #2, City of Granite Shoals, Burnet County, Texas and a Manufactured Home, 14' x 60' located on Lots 496 and 497 ::::: Suit No. 40,797 ::::: Approximate Property Address: Kingspoint Drive	High Bidder:	262	Current Bid:	$27,100.00	$27,200.00	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-march-4-2025-133/item/account-no-003950-lots-127-and-128-astro-hills-unit-2-comal-county-texas-suit-no-t-9122e-approximate-property-address-398-glenn-drive-3387/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/133/1738970195/w0001-1_t.jpg	Account No. 003950 - Lots 127 and 128 Astro Hills, Unit 2, Comal County, Texas ::::: Suit No. T-9122E ::::: Approximate Property Address: 398 Glenn Drive	High Bidder:	36	Current Bid:	$50,100.00	$50,600.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-august-6-2024-116/item/bid-in-trustaccount-no-r000022973-1786-acres-being-an-undivided-interest-in-125-acres-more-or-less-out-of-the-ms-ussery-survey-abstract-722-harrison-county-texas-suit-no-21-0499t-2646/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/116/1719589615/w0001-1_t.jpg	BID IN TRUST Account No. R000022973 - 1.786 Acres, being an undivided interest in 12.5 Acres, more or less, out of the MS Ussery Survey, Abstract 722, Harrison County, Texas ::::: Suit No. 21-0499T	High Bidder:	69	Current Bid:	$7,783.49	$7,883.49	Min Bid:	BID IN TRUST	Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-march-7-2023-93/item/account-no-16252-lot-139-granite-castle-section-sherwood-shores-city-of-granite-shoals-burnet-county-texas-suit-no-44971-approximate-property-address-castlelake-2093/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/93/1674845981/w0001-1_t.jpg	Account No. 16252 - Lot 139, Granite Castle Section, Sherwood Shores, City of Granite Shoals, Burnet County, Texas ::::: Suit No. 44971 ::::: Approximate Property Address: Castlelake	High Bidder:	2557	Current Bid:	$15,500.00	$15,600.00	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-march-4-2025-130/item/withdrawn-account-no-39587-lots-203-204-205-and-206-sherwood-shores-iv-section-sherwood-shores-no-2-burnet-county-texas-suit-no-37157-approximate-property-address-909-wilson-drive-granite-shoals-texas-3260/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/130/1738772487/w0001-1_t.jpg	WITHDRAWN - Account No. 39587 - Lots 203, 204, 205 and 206, Sherwood Shores IV Section, Sherwood Shores No. 2, Burnet County, Texas ::::: Suit No. 37,157 ::::: Approximate Property Address: 909 Wilson Drive, Granite Shoals, Texas	Current Bid:	$0.00		$19,760.00	$100.00	Bid Increment:	WITHDRAWN			Item Location:			
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-december-6-2022-92/item/withdrawn-from-sale021807-lot-29-block-130-golf-range-section-cypress-lake-gardens-subdivision-comal-county-texas-suit-no-t-8961b-approximate-property-address-2253-line-camp-trl-2084/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/92/1667489556/w0001-1_t.jpg	*WITHDRAWN FROM SALE*021807 - Lot 29, Block 130, Golf Range Section, Cypress Lake Gardens Subdivision, Comal County, Texas ::::: Suit No. T-8961B ::::: Approximate Property Address: 2253 Line Camp Trl	Current Bid:	$0.00		$5,755.87	$100.00	Bid Increment:				Item Location:			
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-june-4-2024-110/item/withdrawn-from-sale-account-no-62203-lot-121-tanglewood-shores-subdivision-comal-county-texas-suit-no-t-9716c-approximate-property-address-1207-clear-creek-dr-canyon-lake-texas-2584/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/110/1715349715/w0001-1_t.jpg	**WITHDRAWN FROM SALE ** Account No. 62203 - Lot 121, Tanglewood Shores Subdivision, Comal County, Texas ::::: Suit No. T-9716C ::::: Approximate Property Address: 1207 Clear Creek Dr., Canyon Lake, Texas	Current Bid:	$0.00		$8,088.00	$100.00	Bid Increment:	**WITHDRAWN FROM SALE**			Item Location:			
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-october-5-2021-80/item/account-no-15724-the-west-12-of-lot-57-block-38-canyon-springs-resort-unit-3-comal-county-texas-suit-no-t-9178d-approximate-property-address-517-flatrock-dr-1834/	https://d2jg8vcunvbhyl.cloudfront.net/user_images2/1834_1060065.jpg	Account No. 15724 - The West 1/2 of Lot 57, Block 38, Canyon Springs Resort, Unit 3, Comal County, Texas ::::: Suit No. T-9178D ::::: Approximate Property Address: 517 Flatrock Dr.	High Bidder:	979	Current Bid:	$5,375.00	$5,475.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-june-3-2025-141/item/account-no-r000018395-lot-6-block-2-carter-addition-city-of-marshall-harrison-county-texas-suit-no-15-0116t-3442/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/141/1746581170/w0001-1_t.jpg	Account No. R000018395 - Lot 6, Block 2, Carter Addition, City of Marshall, Harrison County, Texas ::::: Suit No. 15-0116T	High Bidder:	6294	Current Bid:	$6,076.00	$6,176.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-november-1-2022-91/item/account-no-27765-lot-1038-live-oak-section-sherwood-shores-city-of-granite-shoals-burnet-county-texas-suit-no-42530-approximate-property-address-cottonwood-drive-granite-shoals-texas-2050/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/91/1664224436/w0001-1_t.jpg	Account No. 27765 - Lot 1038, Live Oak Section, Sherwood Shores, City of Granite Shoals, Burnet County, Texas ::::: Suit No. 42,530 ::::: Approximate Property Address: Cottonwood Drive, Granite Shoals, Texas	High Bidder:	2217	Current Bid:	$14,600.00	$14,700.00	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-june-3-2025-143/item/account-no-000000073183-lot-6-block-1-canyon-valley-estates-tract-1-unrecorded-plat-comal-county-texas-suit-no-t-9743e-approximate-property-address-14091-fm-306-texas-3524/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/143/1747326973/w0001-1_t.jpg	Account No. 000000073183 - Lot 6, Block 1, Canyon Valley Estates, Tract 1, Unrecorded Plat, Comal County, Texas ::::: Suit No. T-9743E ::::: Approximate Property Address: 14091 FM 306, Texas	High Bidder:	6319	Current Bid:	$22,235.39	$22,335.39	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-september-6-2022-90/item/withdrawn-from-saleaccount-no-103173-lot-25-canyon-oaks-estates-and-a-manufactured-home-label-hwc0046389-comal-county-texas-suit-no-t-8954d-approximate-property-address-57-lilac-ln-2044/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/90/1660918764/w0001-1_t.jpg	**WITHDRAWN FROM SALE**Account No. 103173 - Lot 25, Canyon Oaks Estates, and a Manufactured Home, Label #HWC0046389, Comal County, Texas ::::: Suit No. T-8954D ::::: Approximate Property Address: 57 Lilac Ln	Current Bid:	$0.00		$5,310.18	$100.00	Bid Increment:				Item Location:			
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-october-1-2024-121/item/account-no-r000020563r000047756r000020564r000047755-2300-acres-more-or-less-in-the-james-adams-survey-abstract-34-harrison-county-texas-suit-no-19-0469t-2747/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/121/1725490299/w0001-1_t.jpeg	Account No. R000020563/R000047756/R000020564/R000047755 - 23.00 acres, more or less, in the James Adams Survey, Abstract 34, Harrison County, Texas ::::: Suit No. 19-0469T	High Bidder:	2286	Current Bid:	$220,000.00	$221,000.00	Min Bid:		Closed (bidding was extended)	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-june-4-2024-111/item/withdrawn-from-sale-account-no-3210-0000-0260-0003210-0000-026b-000-4582-acres-more-or-less-being-the-north-portion-of-lot-26-k-bar-j-ranch-subdivision-henderson-county-texas-and-a-manufactured-home-only-1991-redman-homes-trinity-label-tex0454942-serial-12517595-henderson-county-texas-suit-no-tax20-0260-3-2588/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/111/1715876305/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 3210-0000-0260-000/3210-0000-026B-000 - 4.582 Acres, more or less, being the North portion of Lot 26, K Bar J Ranch Subdivision, Henderson County, Texas and A Manufactured Home Only, 1991 Redman Homes, Trinity, Label #TEX0454942, Serial #12517595, Henderson County, Texas ::::: Suit No. TAX20-0260-3	Current Bid:	$0.00		$9,176.37	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-march-4-2025-131/item/withdrawn-from-saleaccount-no-r000004069-25-acres-more-or-less-out-of-abstract-311-of-the-f-hall-survey-harrison-county-texas-suit-no-17-0180t-3281/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/131/1738952749/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. R000004069 - 25 Acres, more or less, out of Abstract 311 of the F. Hall Survey, Harrison County, Texas ::::: Suit No. 17-0180T	Current Bid:	$0.00		$27,262.06	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-august-6-2024-118/item/withdrawn-from-sale-account-no-139182-lot-570-mountain-springs-ranch-unit-3-comal-county-texas-suit-no-t-9207e-approximate-property-address-333-upland-court-2710/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/118/1720624576/w0001-1_t.jpg	** WITHDRAWN FROM SALE ** Account No. 139182 - Lot 570, Mountain Springs Ranch, Unit 3, Comal County, Texas ::::: Suit No. T-9207E ::::: Approximate Property Address: 333 Upland Court	Current Bid:	$0.00		$9,917.90	$100.00	Bid Increment:	**WITHDRAWN FROM SALE**			Item Location:			
https://www.mvbataxsales.com/auction/bowie-central-appraisal-district-bowie-county-texas-online-property-tax-sale-august-5-2025-152/item/withdrawn-from-sale-account-no-1412000980014120009900-964-acres-more-or-less-out-of-the-john-e-mcclure-survey-abstract-392-bowie-county-texas-suit-no-22c0163-102-3753/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/152/1752791302/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 14120009800/14120009900 - 9.64 Acres, more or less, out of the John E. McClure Survey, Abstract 392, Bowie County, Texas ::::: Suit No. 22C0163-102	Current Bid:	$0.00		$46,863.98	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/cherokee-county-online-property-tax-sale-october-1-2024-122/item/account-no-226075000-lot-6-block-2-tower-heights-first-addition-city-of-jacksonville-cherokee-county-texas-suit-no-2019100494-2876/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/122/1726516930/w0001-1_t.jpg	Account No. 226075000 - Lot 6, Block 2, Tower Heights First Addition, City of Jacksonville, Cherokee County, Texas ::::: Suit No. 2019100494	Current Bid:	$0.00		$4,400.00	$50.00	Bid Increment:		, , TX	(bidding was extended)	Time Remaining:	Item Location:		
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-august-5-2025-148/item/withdrawn-from-saleaccount-no-r000045360-lot-189-block-5-cypress-village-caddo-lake-subdivision-harrison-county-texas-suit-no-22-0298t-3656/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/148/1751897934/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. R000045360 - Lot 189, Block 5, Cypress Village Caddo Lake Subdivision, Harrison County, Texas ::::: Suit No. 22-0298T	Current Bid:	$0.00		$3,788.71	$50.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/burnet-county-online-property-tax-sale-october-6-2020-71/item/account-no-12966-lot-473-driftwood-section-city-of-cottonwood-shores-burnet-county-texas-suit-no-42073-approximate-property-address-oak-lane-cottonwood-shores-texas-1647/	https://d2jg8vcunvbhyl.cloudfront.net/user_images2/1647_8890774.jpg	Account No. 12966 - Lot 473, Driftwood Section, City of Cottonwood Shores, Burnet County, Texas ::::: Suit No. 42,073 ::::: Approximate Property Address: Oak Lane, Cottonwood Shores, Texas	High Bidder:	80	Current Bid:	$6,100.00	$6,200.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-august-5-2025-149/item/account-no-000000033791-lot-64-block-22-lake-of-the-hills-estates-comal-county-texas-suit-no-t-9932e-approximate-property-address-1200-sleepy-holw-spring-branch-texas-78070-3835-3701/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/149/1752073744/w0001-1_t.jpg	Account No. 000000033791 - Lot 64, Block 22, Lake of the Hills Estates, Comal County, Texas ::::: Suit No. T-9932E ::::: Approximate Property Address: 1200 Sleepy Holw, Spring Branch, Texas 78070-3835	High Bidder:	113	Current Bid:	$41,100.00	$41,200.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/bowie-central-appraisal-district-bowie-county-texas-online-property-tax-sale-march-4-2025-129/item/account-no-03841041610-all-of-block-153-triggs-addition-city-of-texarkana-bowie-county-texas-suit-no-19c1558-102-approximate-property-address-600-w-16th-st-texarkana-texas-75501-4429-3184/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/129/1739314461/w0001-1_t.jpg	Account No. 03841041610 - All of Block 153, Triggs Addition, City of Texarkana, Bowie County, Texas ::::: Suit No. 19C1558-102 ::::: Approximate Property Address: 600 W 16th St, Texarkana, Texas 75501-4429	High Bidder:	5646	Current Bid:	$32,000.00	$32,100.00	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/comal-county-online-property-tax-sale-march-5-2024-107/item/withdrawn-from-sale-account-no-44627-lot-15-block-6-pfullmann-addition-city-of-new-braunfels-comal-county-texas-suit-no-t-9096c-approximate-property-address-2044-katy-st-new-braunfels-texas-78130-8020-2455/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/107/1707257072/w0001-1_t.jpg	*WITHDRAWN FROM SALE *Account No. 44627 - Lot 15, Block 6, Pfullmann Addition, City of New Braunfels, Comal County, Texas ::::: Suit No. T-9096C ::::: Approximate Property Address: 2044 Katy St, New Braunfels, Texas 78130-8020	Current Bid:	$0.00		$11,027.70	$100.00	Bid Increment:	*WITHDRAWN FROM SALE*			Item Location:			
https://www.mvbataxsales.com/auction/cherokee-county-online-property-tax-sale-march-4-2025-132/item/account-no-105937000-5000-acres-more-or-less-out-of-abstract-40-of-j-pineda-survey-cherokee-county-texas-suit-no-2015060406-3368/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/132/1738955948/w0001-1_t.jpg	Account No. 105937000 - 5.000 Acres, more or less, out of Abstract 40 of J. Pineda Survey, Cherokee County, Texas ::::: Suit No. 2015060406	Current Bid:	$0.00		$16,401.51	$100.00	Bid Increment:		, , TX	(bidding was extended)	Time Remaining:	Item Location:		
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-march-4-2025-134/item/withdraw-from-tax-sale-account-no-284348-4280-0000-2710-530284349-4280-0000-2720-530-lots-271-272-out-of-the-j-p-brown-survey-abstract-59-henderson-county-texas-suit-no-tax19-0361-173-3399/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/134/1738974100/w0001-1_t.jpg	WITHDRAW FROM TAX SALE Account No. 284348 (4280-0000-2710-530)/284349 (4280-0000-2720-530) - Lots 271 & 272, out of the J P Brown Survey, Abstract 59, Henderson County, Texas ::::: Suit No. TAX19-0361-173	Current Bid:	$0.00		$4,659.98	$50.00	Bid Increment:	WITHDRAW FROM TAX SALE			Item Location:			
https://www.mvbataxsales.com/auction/harrison-county-online-property-tax-sale-december-3-2024-124/item/withdrawn-from-saleaccount-no-r000024196r000024195-1900-acres-more-or-less-abstract-515-wm-nelson-survey-harrison-county-texas-suit-no-17-0814t-2898/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/124/1731352986/w6732599bf29c6_t.jpg	WITHDRAWN FROM SALE Account No. R000024196/R000024195 - 19.00 Acres, more or less, Abstract 515, WM Nelson Survey, Harrison County, Texas ::::: Suit No. 17-0814T	Current Bid:	$0.00		$16,658.25	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
https://www.mvbataxsales.com/auction/cherokee-county-online-property-tax-sale-may-6-2025-140/item/account-no-221886000-lot-1-block-59-city-of-jacksonville-cherokee-county-texas-suit-no-2017070400-3425/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/140/1744645371/w0001-1_t.jpg	Account No. 221886000 - Lot 1, Block 59, City of Jacksonville, Cherokee County, Texas ::::: Suit No. 2017070400	High Bidder:	3301	Current Bid:	$12,377.80	$12,477.80	Min Bid:		Closed	(bidding was extended)	Bid Increment:	Time Remaining:	, , TX	Item Location:
https://www.mvbataxsales.com/auction/henderson-county-online-property-tax-sale-june-3-2025-142/item/withdrawn-from-sale-account-no-3850-0001-0630-530-146301-lot-63-pleasure-land-1-subdivision-henderson-county-texas-suit-no-tax19-0175-173-3513/	https://d2jg8vcunvbhyl.cloudfront.net/auctionimages/142/1747102394/w0001-1_t.jpg	WITHDRAWN FROM SALE Account No. 3850-0001-0630-530 / 146301 - Lot 63, Pleasure Land #1 Subdivision, Henderson County, Texas ::::: Suit No. TAX19-0175-173	Current Bid:	$0.00		$11,949.70	$100.00	Bid Increment:	WITHDRAWN FROM SALE			Item Location:			
